,Star_name,Distance,Mass,Radius,Luminosity,,Star_name,Distance,Mass,Radius

45,Alsephina[2],0080,2.4,2.9,90

46,Mirzam,0500,13.5,10,"27,000"

47,Polaris,0430,5.4,39,"2,500"

48,Alphard,0180,3.0,50,780

49,Mintaka,01200,24,16.5,"190,000"

50,Scheat,0196,2.1,95,"1,500"

51,Almaaz,0653,15,140,"43,000"

52,Rasalgethi,0360,2.8,280,"8,300"

53,Tau Ceti,011.9,0.783,0.893,0.52

54,Delta Pavonis,019.92,0.991,1.22,1.22

55,Ran,010.48,0.82,0.74,0.34

56,V382 Carinae,"08,900",20,485,"212,000"

57,Eta Carinae,"07,500",100,60–881,"5,000,000"

58,Delta Cephei,0887,4.5,44.5,"2,000"

59,Mu Cephei,"06,000",19.2,972,"135,000"

60,Titawin,044.25,1.27,1.48,3.57

61,Rho Cassiopeiae,"08,154",22,636-981,"347,000 - 530,000"

62,P Cygni,"05,545",30,76,"610,000"

63,La Superba,"01,000",,129 - 342,"2,472 - 5,800"

64,VV Cephei,"04,900",18.2,"516 - 1,050","200,000"

65,61 Cygni,011.41,0.7,0.665,0.153

66,R Doradus,0178,0.7 - 1.0,298,"4,350"

67,Polaris Australis,0281,1.59,3.74,38

68,R Coronae Borealis,"04,566",0.85,85,"10,000"

69,54 Piscium,036.1,0.76,0.94,0.52

70,Mira,0300,1.2,370,"9,000"

71,RW Cephei,"014,000",13.9,"1,158","417,000"

72,Lacaille 8760,012.87,0.6,0.51,0.072

73,V838 Monocerotis,"019,896",?,380 - 750,"15,000"

74,HD 140283,0190,?,1.4,3.83

75,II Pegasi,0130,0.8,3.4,1.06

76,VY Canis Majoris,"03,900",17,"1,420","178,000 - 270,000"

77,Pistol Star,"025,000",100,320,"1,700,000"

78,S Doradus,"0169,000",24,380,"910,000"

79,UY Scuti,"05,100",7–10,755,"86,300 - 87,100"

80,Barnard's Star,05.98,0.14,0.20,0.0035

81,Luhman 16,06.52,0.04,?,?

82,Proxima Centauri,04.25,0.12,0.15,0.0017

83,KIC 8462852,"01,470",1.43,1.58,4.68

84,R136a1,"0163,000",290,32,"8,710,000"

85,Melnick 42,"0163,000",189,21.1,"3,600,000"

86,WR 102,"018,134",19,0.39,"282,000"

87,VFTS 352,"0164,000",57.48,14.47,"330,000"

88,YBP 1194,"02,772",1.01,0.99,0.98

89,Gliese 1214,047.5,0.16,0.21,0.0033

90,NML Cygni,"05,251",50,"1,640 - 2,770","229,000"

91,VB 10,018.72,0.075,0.10,0.0004

92,WOH G64,"0163,000",<20,"1,540 - 1,730","340-589,000"

93,TRAPPIST-1,039.6,0.089,0.12,0.0005

94,2MASS J0523-1403,040.3,0.07,0.086,0.00013

95,WISE 0855−0714,07.27,0.003,?,?

96,Icarus,"014,400,000,000",33,?,"850,000"

0,SDSS J000013.54+255418.6 [de],46.1,0.045820224,0.010454631827309999

1,2MASS J00040288-6410358,192.0,0.018137172,0.01721318169547

2,2MASS J00242463-0158201,37.7,0.075412452,0.01151065524421

3,2MASS J00274197+0503417,236.0,0.029592228,0.015206737203359997

4,2MASSW J0030300-145033,87.2,0.051547752,0.010349029485619998

5,2MASS J00332386-1521309 [de],131.0,0.027683052,0.015101134861669996

6,2MASS J00345157+0523050,31.0,0.040092696000000004,0.009926620118859997

7,2MASS 0036+1821,28.6,0.040092696000000004,0.009926620118859997

8,2MASSW J0045214+163445,57.0,0.021955524,0.01710757935378

9,WISEP J004701.06+680352.1 [fr],40.0,0.011455056,0.013728304419699997

10,2MASS J00501994-3322402 [de],34.0,0.03818352,0.009926620118859997

11,2MASS J00584253-0651239 [de],96.0,0.027683052,0.015101134861669996

12,2MASSI J0103320+193536,70.0,0.049638576000000004,0.010349029485619998

13,SDSSp J010752.33+004156.1 [de],51.0,0.049638576000000004,0.010349029485619998

14,2MASSI J0117474-340325 [de],163.0,0.01909176,0.01710757935378

15,2MASS J01415823-4633574 [de],130.0,0.01909176,0.01700197701209

16,SDSS J015141.69+124429.6,70.0,0.044865636,0.010243427143929998

17,SDSS J020742.48+000056.2 [de],111.0,0.044865636,0.010243427143929998

18,2MASS J02103857-3015313,101.0,0.014318820000000001,0.016157158278569998

19,2MASS J02340093-6442068,155.0,0.01909176,0.01710757935378

20,2MASS J02411151-0326587 [de],152.0,0.025773876,0.014889930178289996

21,2MASS J02431371−2453298,35.0,0.031501404000000004,0.010454631827309999

22,LP 771-21,53.0,0.074457864,0.01140505290252

23,Teegarden's star,12.578,0.07636704,0.013411497394629997

24,2MASS J02535980+3206373,184.0,0.06204822,0.020064444921099996

25,WISE J0254+0223,24.0,0.06204822,0.020064444921099996

26,DEN 0255-4700,16.2,0.07636704,0.010243427143929998

27,2MASS J03185403-3421292 [de],45.0,0.046774812,0.010243427143929998

28,2MASS J03205965+1854233,47.0,0.084003744,0.012144269294349998

29,2MASS J03231002-4631237,192.0,0.021955524,0.01752998872054

30,SDSS J032553.17+042540.1,59.0,0.04295646,0.010032222460549998

31,2MASS J03264225-2102057 [de],80.0,0.017182584,0.013728304419699997

32,2MASS J03284265+2302051 [de],98.0,0.051547752,0.010349029485619998

33,2MASS J03341218-4953322,27.0,0.069684924,0.010982643535759999

34,LP 944-20,20.9,0.069684924,0.015101134861669996

35,2MASP J0345432+254023,88.0,0.070639512,0.01108824587745

36,Teide 1,380.0,0.05250234,0.03991768515881999

37,2MASS J03510004-0052452,48.0,0.09736797600000001,0.013411497394629997

38,2MASS J03552337+1133437,29.8,0.01909176,0.013939509103079999

39,2MASS J04151954−0935066,18.6,0.028637640000000002,0.010032222460549998

40,2MASS J04285096-2253227 [de],85.0,0.07636704,0.01151065524421

41,2MASS J04351612-1606574,34.0,0.0954588,0.013305895052939998

42,2MASS J04362788-4114465,142.0,0.037228932,0.020803661312929995

43,2MASS J04390101-2353083 [de],29.5,0.045820224,0.010243427143929998

44,2MASS J04433764+0002040,82.0,0.021000936,0.018797216820819997

45,2MASS J04455387-3048204 [de],42.0,0.061093632,0.010560234168999998

46,2MASS J04510093-3402150 [de],69.0,0.00099277152,0.7603368601679998

47,2MASS J05002100+0330501 [de],44.0,0.061093632,0.010560234168999998

48,2MASS J05012406-0010452 [de],64.0,0.020046348000000002,0.014573123153219996

49,2MASS J05160945-0445499 [de],73.0,0.044865636,0.010243427143929998

50,2MASS J0523−1403,40.0,0.064911984,0.010665836510689999

51,SDSS J053951.99-005902.0,41.62,0.058229868000000004,0.010665836510689999

52,LSR 0602+3910 [de],34.6,0.026728464,0.014889930178289996

53,2MASS J06085283-2753583,102.0,0.036274344,0.015945953595189997

54,2MASS J06244595-4521548 [de],39.0,0.053456928,0.010454631827309999

55,2MASS J06411840-4322329 [de],65.0,0.063957396,0.010665836510689999

56,DENIS-P J0652197-253450 [de],51.0,0.07159410000000001,0.01108824587745

57,2MASS J07075327-4900503,60.0,0.068730336,0.010877041194069998

58,UGPS J072227.51-054031.2,13.4,0.024819288000000002,0.010349029485619998

59,2MASSI J0727182+171001 [de],29.6,0.039138108,0.009926620118859997

60,2MASS J07290002-3954043 [de],25.8,0.035319756,0.009926620118859997

61,SDSS J074201.41+205520.5 [de],49.0,0.041047284,0.009926620118859997

62,DENIS-P J0751164-253043 [de],55.0,0.067775748,0.010877041194069998

63,2MASS J07522390+1612157,60.0,0.00191872188,0.7180959234919999

64,DENIS J081730.0-615520,16.1,0.042001872,0.009926620118859997

65,2MASS J08251968+2115521 [de],35.0,0.049638576000000004,0.010349029485619998

66,SDSSp J083008.12+482847.4 [de],43.0,0.045820224,0.010454631827309999

67,LHS 2021,55.0,0.084003744,0.012144269294349998

68,SDSS J083048.80+012831.1 [de],77.0,0.043911048,0.010137824802239999

69,2MASSI J0835425-081923 [de],23.53,0.059184456,0.010560234168999998

70,2MASSI J0847287-153237 [de],43.0,0.061093632,0.010560234168999998

71,2MASS J08533619-0329321,27.6,0.073503276,0.01129945056083

72,2MASSI J0859254-194926 [de],50.0,0.0477294,0.010349029485619998

73,2MASSI J0937347+293142,20.0,0.040092696000000004,0.009926620118859997

74,2MASS 0939−2448,17.4,0.030546816,0.010032222460549998

75,2MASS J09490860-1545485 [de],59.0,0.046774812,0.010137824802239999

76,2MASS J10073369-4555147,46.0,0.042001872,0.009926620118859997

77,2MASSI J1010148-040649 [de],55.0,0.048683988000000004,0.010349029485619998

78,2MASS J10224821+5825453 [de],60.0,0.025773876,0.014889930178289996

79,2MASSW J1036530-344138 [de],53.0,0.046774812,0.010243427143929998

80,2MASS J1047538+212423 [de],34.4,0.040092696000000004,0.009926620118859997

81,DEN 1048-3956,13.15,0.073503276,0.01129945056083

82,Luhman 16B,6.516,0.041047284,0.01077143885238

83,Luhman 16A,6.516,0.03818352,0.010665836510689999

84,DENIS-P J1058.7−1548,49.0,0.061093632,0.010560234168999998

85,TWA 28,180.0,0.034365168,0.025238959663909998

86,Cha 110913-773444,163.0,0.007636704,0.019008421504199995

87,SDSS J111010.01+011613.1,63.0,0.008591292,0.01309469036956

88,2MASS J11145133−2618235,18.2,0.031501404000000004,0.010137824802239999

89,TWA 26,137.0,0.028637640000000002,0.023232515171799997

90,2MASS J11544223-3400390 [de],129.0,0.035319756,0.015840351253499998

91,2MASSW J1155395-372735 [de],31.0,0.061093632,0.010560234168999998

92,2MASS J12074836-3900043,217.0,0.016227996,0.018058000428989997

93,2MASSI J1217110-031113 [de],36.0,0.040092696000000004,0.009926620118859997

94,2M 1237+6526,45.6,0.039138108,0.009926620118859997

95,TWA 29,262.0,0.001909176,0.26400585422499995

96,SDSSp J125453.90-012247.4 [de],38.0,0.044865636,0.010349029485619998

97,Kelu-1A,61.0,0.060139044,0.010349029485619998

98,Kelu-1B,61.0,0.055366104,0.010349029485619998

99,2MASS J13204427+0409045,101.0,0.063957396,0.010665836510689999

100,SDSSp J132629.82-003831.5 [de],65.0,0.048683988000000004,0.010243427143929998

101,SDSSp J134646.45-003150.4 [de],48.0,0.042001872,0.009926620118859997

102,2MASS J13595510-4034582,51.0,0.060139044,0.010560234168999998

103,ULAS J141623.94+134836.3,29.7,0.030546816,0.010137824802239999

104,SDSS J141659.78+500626.4 [de],149.0,0.056320692,0.010454631827309999

105,DENIS-P J142527.97-365023.4 [de],38.0,0.020046348000000002,0.013939509103079999

106,LHS 2924,38.5,0.072548688,0.011193848219139999

107,2MASS J14392837+1929150,47.0,0.068730336,0.010877041194069998

108,LSPM J1440+1339,72.0,0.087822096,0.012566678661109998

109,2MASS J14482563+1031590 [de],47.0,0.056320692,0.010454631827309999

110,CFBDSIR 1458+10A,104.0,0.0105959268,0.015840351253499998

111,CFBDSIR 1458+10B,104.0,0.008591292,0.013728304419699997

112,TVLM 513-46546,35.1,0.07159410000000001,0.01108824587745

113,2MASS 1503+2525,20.7,0.042001872,0.009926620118859997

114,CFBDS J150411+102717,71.0,0.042001872,0.009926620118859997

115,2MASSW J1506544+132106 [de],46.0,0.065866572,0.01077143885238

116,2MASS 1507−1627,23.9,0.057275280000000005,0.010454631827309999

117,TVLM 868-110639,53.0,0.075412452,0.01140505290252

118,2MASSW J1515008+484742 [de],34.0,0.054411516,0.010454631827309999

119,2MASSI J1526140+204341 [de],67.0,0.051547752,0.010349029485619998

120,DENIS-P J153941.96-052042.4 [de],51.0,0.060139044,0.010560234168999998

121,2MASS J15462718-3325111 [de],37.0,0.042001872,0.009926620118859997

122,2MASSW J1552591+294849 [de],68.0,0.028637640000000002,0.015101134861669996

123,2MASSW J1555157-095605 [de],44.0,0.067775748,0.010877041194069998

124,2MASS J16150413+1340079 [de],48.0,0.040092696000000004,0.009926620118859997

125,SDSSp J162414.37+002915.6 [de],36.0,0.041047284,0.009926620118859997

126,2MASS J16262034+3925190 [de],110.0,0.067775748,0.010877041194069998

127,2MASSW J1632291+190441 [de],50.0,0.046774812,0.010243427143929998

128,WISEPA J164715.59+563208.2,28.0,0.039138108,0.009926620118859997

129,LSPM J1658+7027 [de],60.0,0.069684924,0.010982643535759999

130,2MASSI J1726000+153819,114.0,0.022910112,0.014784327836599996

131,SDSSp J175032.96+175903.9,90.0,0.044865636,0.010243427143929998

132,2MASS J18283572-4849046,39.0,0.04295646,0.010032222460549998

133,LSR J1835+3259,18.5,0.073503276,0.01129945056083

134,2MASSW J1841086+311727,138.0,0.063957396,0.010665836510689999

135,2MASS J18432213+4040209,46.0,0.091640448,0.01288348568618

136,2MASS J20004841-7523070,105.0,0.0238647,0.019853240237719994

137,SDSS J204749.61-071818.3,65.0,0.043911048,0.010137824802239999

138,2MASSI J2057540-025230,47.0,0.06682116,0.01077143885238

139,2MASSI J2104149-103736,62.0,0.065866572,0.01077143885238

140,PSO J318.5−22,80.0,0.0062048220000000005,0.016157158278569998

141,HB 2124-4228,113.0,0.089731272,0.012777883344489998

142,2MASS J21392676+0220226,32.1,0.043911048,0.010137824802239999

143,2MASS J21481628+4003593,26.3,0.05250234,0.010454631827309999

144,2MASSW J2206450-421721,93.0,0.021000936,0.014045111444769998

145,2MASSW J2208136+292121,154.0,0.025773876,0.014889930178289996

146,2MASSW J2224438-015852,38.0,0.058229868000000004,0.010454631827309999

147,2MASS J22282889-4310262,35.0,0.040092696000000004,0.009926620118859997

148,2MASS J22373255+3922398,64.0,0.069684924,0.010982643535759999

149,2MASSW J2244316+204343,56.0,0.011455056,0.013622702078009998

150,2MASS J23224684-3133231,56.0,0.022910112,0.014678725494909997

151,2MASS J23225299-6151275,148.0,0.016227996,0.01679077232871

152,2MASS J23515044-2537367,67.0,0.084003744,0.012249871636039997

153,2MASSI J2356547-155310,74.0,0.07636704,0.01151065524421

154,WISE 0410+1502,20.0,0.005727528,0.012355473977729996

155,WISE 0458+6434A,35.9,0.014318820000000001,0.0443529835098

156,WISE 0458+6434B,35.9,0.00954588,0.04012888984219999

157,WISE 1405+5534,25.3,0.028637640000000002,0.00908180138534

